City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Abalak,RU,2023-02-20 21:45:55,58.1286,68.5944,11.64,95,100,6.26
94,Sao Filipe,CV,2023-02-20 21:45:55,14.8961,-24.4956,70.7,77,74,15.5
95,Manono,CD,2023-02-20 21:45:56,-7.3,27.4167,70.02,92,100,3.22
96,Mehamn,NO,2023-02-20 21:45:56,71.0357,27.8492,13.91,79,0,12.66
97,Nouadhibou,MR,2023-02-20 21:45:56,20.931,-17.0347,66.18,63,32,16.11
98,Tessalit,ML,2023-02-20 21:45:57,20.1986,1.0114,70.18,12,19,10.96
99,Kruisfontein,ZA,2023-02-20 21:45:57,-34.0033,24.7314,57.88,72,20,24.85
100,Eyl,SO,2023-02-20 21:45:58,7.9803,49.8164,73.45,76,60,17.47
101,Sar-E Pul,AF,2023-02-20 21:45:58,35.8333,66.1667,38.82,39,1,7.47
102,Mar Del Plata,AR,2023-02-20 21:45:30,-38.0023,-57.5575,69.94,78,0,12.66
103,Omboue,GA,2023-02-20 21:45:58,-1.5746,9.2618,79.61,86,99,3.96
104,Bredasdorp,ZA,2023-02-20 21:45:59,-34.5322,20.0403,59.4,60,48,15.43
105,Saldanha,ZA,2023-02-20 21:45:59,-33.0117,17.9442,59.05,70,74,8.57
106,Qasigiannguit,GL,2023-02-20 21:46:00,68.8193,-51.1922,-14.1,100,96,5.23
107,East London,ZA,2023-02-20 21:42:45,-33.0153,27.9116,65.7,68,81,22.24
108,Caravelas,BR,2023-02-20 21:46:01,-17.7125,-39.2481,76.35,85,70,3.6
109,Gbarnga,LR,2023-02-20 21:46:01,6.9956,-9.4722,76.42,59,2,4.25
110,Nizwa,OM,2023-02-20 21:46:02,22.9333,57.5333,69.22,37,66,0.92
111,Castro,BR,2023-02-20 21:46:03,-24.7911,-50.0119,62.53,99,100,1.61
112,San Juan De Los Morros,VE,2023-02-20 21:46:03,9.9115,-67.3538,81.48,48,77,4.74
113,Plover,US,2023-02-20 21:46:04,44.4564,-89.544,32.99,83,100,9.22
114,Bathsheba,BB,2023-02-20 21:46:05,13.2167,-59.5167,79.41,61,20,19.57
115,Marigot,MF,2023-02-20 21:46:05,18.0667,-63.0833,78.89,61,40,14.97
116,Husavik,IS,2023-02-20 21:46:06,66.0449,-17.3389,21.72,80,36,12.88
117,Clyde River,CA,2023-02-20 21:46:06,70.4692,-68.5914,-34.37,61,0,3.44
118,Aksu,CN,2023-02-20 21:46:07,41.1231,80.2644,31.41,61,53,1.59
119,Ganta,LR,2023-02-20 21:46:08,7.3022,-8.5308,74.25,36,10,1.07
120,Vangaindrano,MG,2023-02-20 21:46:08,-23.35,47.6,77.07,84,61,2.39
121,Sycamore,US,2023-02-20 21:46:09,41.9889,-88.6868,49.87,58,0,11.5
122,Idil,TR,2023-02-20 21:46:09,37.3411,41.8895,40.93,61,75,6.91
123,Yokadouma,CM,2023-02-20 21:46:10,3.5167,15.05,72.61,29,40,1.39
124,Bambous Virieux,MU,2023-02-20 21:46:11,-20.3428,57.7575,81.21,89,75,23.02
125,Mahon,ES,2023-02-20 21:46:11,39.8885,4.2658,50.56,93,20,0.0
126,Los Llanos De Aridane,ES,2023-02-20 21:46:12,28.6585,-17.9182,60.55,85,100,6.91
127,Kandara,IN,2023-02-20 21:46:13,25.7191,73.2765,68.59,28,83,10.11
128,Sinnamary,GF,2023-02-20 21:46:13,5.3833,-52.95,75.51,88,75,10.51
129,Mananjary,MG,2023-02-20 21:46:13,-21.2167,48.3333,75.06,90,23,5.5
